representative,synonym,group_size
traditional cross-brace of a foldable wheelchair with no seat tilt capability,traditional cross-brace of a foldable wheelchair with no seat tilt capability,1
traditional telecommunications were stretched and overloaded,traditional telecommunications were stretched and overloaded,1
traditional walking assist devices do not adequately address a transitional phase,traditional walking assist devices do not adequately address a transitional phase,1
traffic chaos,traffic chaos,3
traffic chaos,traffic congestion,3
traffic chaos,traffic safety,3
traffic collisions,traffic collisions,1
transfer task-related musculoskeletal injuries,transfer task-related musculoskeletal injuries,1
transferring disabled persons or dependent elderly persons,transferring disabled persons or dependent elderly persons,1
transferring from the bed to the wheelchair or a shower chair requires a lot of external help,transferring from the bed to the wheelchair or a shower chair requires a lot of external help,1
transition from the use of parallel bars to the use of a walker,transition from the use of parallel bars to the use of a walker,1
transmission of private information to remote server,transmission of private information to remote server,1
tremendous disruption in the life of the infertile couple,tremendous disruption in the life of the infertile couple,1
trip hazard,trip hazard,2
trip hazard,tripping hazards,2
trouble moving or being transported from one place to another,trouble moving or being transported from one place to another,1
trouble moving themselves to and from a work surface,trouble moving themselves to and from a work surface,1
